"","AIC.sr","AIC.gam","AIC.tree","BIC.sr","BIC.gam","BIC.tree","EIC.sr","EIC.gam","EIC.tree"
"1",275.58507012337,275.788927015723,284.950008368,286.005750867322,288.837196922428,313.606880413869,267.683100415691,266.181755920562,263.051867329839
"2",278.585157568202,279.364690975917,280.585157568202,289.005838312155,295.254037665578,293.611008498143,269.298797150495,265.658174136037,269.29382253817
"3",274.486249604501,274.292064734242,281.79994674816,284.906930348453,289.796173154922,310.456818794029,267.502655611059,263.000983876156,260.822240944745
"4",275.7164434802,275.722375645256,277.7164434802,286.137124224152,286.153176434294,290.74229441014,267.344768425209,267.161657064289,267.342285313342
"5",277.646586107097,278.068071566877,279.646586107097,288.067266851049,290.221637258541,292.672437037038,269.766009482748,268.682201159427,269.765862420149
"6",281.621232351254,281.851985445242,283.621232351254,292.041913095206,295.61724057518,296.647083281194,273.851531330011,270.859278786961,273.85059483919
"7",281.693925140741,280.519626645215,283.693925140741,292.114605884694,294.333801932368,296.719776070682,273.925202162161,270.215226835775,273.928364283147
"8",273.487036637701,273.830538201512,275.487036637701,283.907717381653,285.878715944385,288.512887567642,265.677425007224,264.7905025784,265.676749647637
"9",270.109079445492,270.798103806415,272.109079445492,280.529760189445,284.766641222124,285.134930375433,261.393161670235,259.890653133794,261.390106666662
"10",279.071771987807,279.583297071839,286.896779590831,289.492452731759,291.845068103038,315.5536516367,271.295411179453,270.363189239607,265.120457333415
"11",283.643236185631,284.406692777957,285.643236185631,294.063916929583,297.087900825823,298.669087115571,275.623961035595,274.667391000907,275.624146640882
"12",282.919575003987,283.330345001084,284.919575003987,293.340255747939,306.013813994099,297.945425933927,275.493393171959,266.321024593613,275.494025927816
"13",269.617552912444,270.236872585033,271.617552912444,280.038233656396,282.237114639705,284.643403842384,261.543498389232,261.141775270427,261.53819016701
"14",279.979774833496,279.984478932059,287.830426321054,290.400455577448,290.413429686533,316.487298366923,271.725445689469,271.860567655976,265.577179342385
"15",273.074244360854,273.079730511345,275.074244360854,283.494925104806,283.508281854627,288.100095290794,266.329446416246,266.359922826017,266.342747783673
"16",282.196706776082,282.201848292236,284.196706776082,292.617387520034,292.632718413941,297.222557706022,274.368284747352,274.187733709468,274.368136283337
"17",291.744953725522,292.354130830405,293.744953725522,302.165634469474,304.724938641179,306.770804655463,283.596388269602,282.667364414543,283.597040033795
"18",281.054091400498,281.255130854774,292.143064122158,291.474772144451,294.138519400497,320.799936168027,272.850926646527,271.563935267964,269.941202815934
"19",288.033472398326,288.038159515307,290.033472398326,298.454153142278,298.466651387545,303.059323328266,280.338753914082,279.961001633711,280.333272320585
"20",274.514154739381,274.518687346493,276.514154739381,284.934835483334,284.947979149416,289.540005669322,267.107415033095,266.986469245917,267.104344356545
"21",284.522905976342,284.52657995901,286.522905976342,294.943586720294,294.955692971945,299.548756906282,276.483680543404,276.787595669351,276.483137856988
"22",284.881976680681,283.399511794319,286.881976680681,295.302657424634,302.458145098141,299.907827610622,276.683696506197,267.920039725969,276.683754647884
"23",265.651849742124,266.073466034637,275.57409110726,276.072530486077,277.972130862346,304.230963153129,257.752270079948,257.398451621382,253.671314707685
"24",284.588080661225,284.591024019113,286.588080661225,295.008761405177,295.01941963674,299.613931591165,276.263951587578,276.290916405967,276.265789986685
"25",270.481997558771,270.446155906208,272.481997558771,280.902678302723,283.740180527354,285.507848488711,262.508312302434,260.275319005862,262.509662387089
"26",273.585910555979,273.591684580528,275.585910555979,284.006591299931,284.021543038277,288.61176148592,266.137581951363,266.187040322532,266.137303895987
"27",280.158676337831,280.161933329008,289.557432675543,290.579357081783,290.590414060695,318.214304721412,272.811376443414,273.495813540501,268.218585656939
"28",271.041012007539,270.72331616567,273.041012007539,281.461692751491,285.687003311892,286.066862937479,263.439911240903,259.78252240673,263.442011013399
"29",281.829514325794,280.584892595827,283.829514325794,292.250195069746,307.270586096493,296.855365255734,274.059495680012,260.550560647016,274.056342245984
"30",268.101831917638,268.107909224471,276.068003330601,278.52251266159,278.538049601595,304.72487537647,260.363032385771,260.408862927668,254.325879138108
"31",277.273891027108,277.777129689595,279.273891027108,287.694571771061,291.100522375013,292.299741957049,269.682827533645,267.764730350224,269.683835322436
"32",291.275788030845,291.273441318146,293.275788030845,301.696468774798,301.700654701677,306.301638960786,284.078169273702,284.005368376727,284.081768584458
"33",277.514387706162,277.517471390307,279.514387706162,287.935068450115,287.946746770384,292.540238636103,269.074253588014,269.441255158789,269.073056243175
"34",276.136162952239,276.137008302923,278.136162952239,286.556843696192,286.56601063924,291.16201388218,267.295819762648,267.451506836079,267.291296404434
"35",280.702491132661,280.706738328553,291.365151897759,291.123171876613,291.134994476718,320.022023943628,272.530022565837,272.865186926279,269.192210097586
"36",270.107777127019,270.108382243654,289.225971141194,280.528457870972,280.536876781966,333.513864302992,262.069056586806,262.239433110601,255.190930063889
"37",281.514203408871,281.661747676851,283.514203408871,291.934884152824,297.671015514682,296.540054338812,273.814057004732,269.745243254785,273.814916744052
"38",260.250497753244,260.525325156586,262.250497753244,270.671178497196,271.949437532484,275.276348683184,252.178164356067,251.562261017028,252.179395270163
"39",276.845305498305,277.216273155554,278.845305498305,287.265986242257,291.859902910141,291.871156428245,268.17723708786,265.22981343108,268.176206690255
"40",265.853391012427,265.858037858982,279.296903595038,276.274071756379,276.287500292925,323.584796756836,258.09919777261,257.973560421705,245.543101981796
"41",276.401829785631,274.63446867988,278.401829785631,286.822510529584,292.001458459408,291.427680715572,268.852631042607,261.939988286791,268.853366054837
"42",278.75039742128,278.750603522532,280.75039742128,289.171078165232,289.180249563143,293.77624835122,270.752144016185,270.566584858856,270.753799112191
"43",277.831770394157,277.836548050344,279.831770394157,288.25245113811,288.265538224674,292.857621324098,269.528412690941,269.502407566444,269.526450936131
"44",280.311136517514,280.024213766294,282.311136517514,290.731817261466,297.175467092868,295.336987447454,271.550517494078,266.6374303358,271.547432937463
"45",272.345241867709,272.718660488543,274.345241867709,282.765922611661,284.609984550549,287.371092797649,264.651187294345,264.047629207238,264.651393409836
"46",279.564970541472,279.637676385897,281.564970541472,289.985651285425,292.35303329626,294.590821471413,271.702052060197,270.574981075439,271.69869695461
"47",267.915695673319,265.89072573638,276.924845088239,278.336376417272,280.159708537715,305.581717134108,259.901003674772,255.070617341488,254.909786473376
"48",276.4837955535,276.490947910625,288.40583383197,286.904476297452,286.921405173322,317.062705877839,267.393159907576,267.273014253886,265.310286795916
"49",275.672249275596,273.869474198318,277.672249275596,286.092930019548,288.237709021503,290.698100205536,266.708605734428,262.563870068292,266.707095970897
"50",281.043003291763,281.046075115128,283.043003291763,291.463684035716,291.474789395667,296.068854221704,273.343406441107,273.342043823717,273.341210895073
"51",284.724117742953,284.728213694372,286.724117742953,295.144798486905,295.15589066951,299.749968672893,276.8633738595,277.028843835944,276.869054204648
"52",279.771379445518,279.774072423436,281.771379445518,290.192060189471,290.203810180476,294.797230375459,271.439521585431,271.078734759632,271.439092287047
"53",286.988184434942,286.993892676774,288.988184434942,297.408865178895,297.423408558432,302.014035364883,277.977023260271,277.571341339262,277.971810586605
"54",289.405548129776,290.083697777091,291.405548129776,299.826228873728,305.895037716057,304.431399059716,281.621922599051,277.920010420293,281.623691016339
"55",268.587303288098,268.591972803048,279.219139426524,279.007984032051,279.02443538198,307.876011472393,260.996613600239,261.224260971409,257.628720435961
"56",283.49641570608,284.036517177764,285.49641570608,293.917096450032,296.616612056302,298.52226663602,275.132626439405,274.038984433693,275.132929915822
"57",284.486989357883,284.878355120127,286.486989357883,294.907670101835,296.472513930955,299.512840287823,277.582897612428,276.939329036806,277.581736959219
"58",281.47488823083,281.268560823828,283.47488823083,291.895568974782,297.835781675149,296.500739160771,274.323508346022,269.545779366079,274.326505659866
"59",279.049449290485,279.519061818233,281.049449290485,289.470130034438,297.242689610398,294.075300220426,271.176040236895,266.69572110529,271.174064458285
"60",286.250984480241,286.212643322821,288.250984480241,296.671665224193,302.540862823126,301.276835410181,279.264665821919,274.537666563655,279.268222915971
"61",264.343250047029,264.762319512458,266.343250047029,274.763930790981,279.475695011627,279.369100976969,256.217288617302,253.289742260767,256.218041996882
"62",295.865209483887,295.86714757051,313.958468287084,306.28589022784,306.294208426295,358.246361448882,287.726501818872,288.037433141011,279.819529497333
"63",287.175828593552,287.158427570308,289.175828593552,297.596509337504,300.587448914352,302.201679523492,279.436610780069,276.801804375294,279.436859078483
"64",276.805674353323,277.223968987885,285.139076178411,287.226355097276,289.617665765857,313.79594822428,269.011750315363,267.453818002072,263.346107216037
"65",282.118534873273,283.622444839561,290.335237800124,292.539215617226,301.779311529113,318.992109845993,274.453546922606,270.251245995781,268.672407541269
"66",274.096088306524,274.098534901422,276.096088306524,284.516769050476,284.528152038207,289.121939236464,266.49283312818,266.707650523847,266.493556199147
"67",283.038568400727,282.199618402072,285.038568400727,293.45924914468,301.061980302594,298.064419330668,275.282112689887,267.698306310084,275.285132105588
"68",267.098224033893,267.026246194927,275.285686956798,277.518904777845,282.543041715833,303.942559002667,259.532956658641,255.161583408241,253.724175995077
"69",270.648490301572,270.796389621508,281.569546390459,281.069171045524,284.339685093888,310.226418436328,262.260391424948,260.1497215301,259.179977539708
"70",284.241149779,284.24475823518,286.241149779,294.661830522953,294.672419040051,299.267000708941,276.138808575781,276.126370538678,276.138201131514
"71",285.427987401588,284.846056314374,287.427987401588,295.848668145541,299.264604771076,300.453838331529,277.608938269681,273.768683158348,277.613843375549
"72",280.618450171529,278.482197033144,292.648681447252,291.039130915482,294.006041632536,321.305553493121,272.289785368079,266.10039433385,270.319323098119
"73",282.842383507366,282.846081436103,284.842383507366,293.263064251318,293.273112768957,297.868234437306,274.830063631699,275.067612107023,274.830470743137
"74",272.245633153376,272.19740862514,274.245633153376,282.666313897328,285.751142921494,287.271484083316,264.7402207346,262.060984748567,264.739649009335
"75",269.426952925356,267.787654677908,275.634368343572,279.847633669309,286.810764816791,304.291240389441,261.351193338908,253.247668471423,253.558542292722
"76",276.553301841109,272.090941132356,278.553301841109,286.973982585061,287.314769993143,291.579152771049,268.587253523527,260.383199266324,268.586909618274
"77",282.581771535572,282.753463583982,284.581771535572,293.002452279525,293.733018949295,297.607622465513,274.583172264749,273.838834509435,274.581654686723
"78",272.710849456452,272.714529107839,282.155831113682,283.131530200404,283.1459515187,310.812703159551,264.754792122415,264.413880913579,260.198567189462
"79",271.254278473925,270.374043321129,273.254278473925,281.674959217877,284.057010059025,286.280129403865,263.644825177682,259.979341464148,263.64523586903
"80",285.207284059546,285.572821118167,294.912154016569,295.627964803499,297.996459456096,323.569026062438,277.256709846216,276.040453422612,272.961975403942
"81",276.551207937107,276.55705761433,278.551207937107,286.97188868106,286.986606923883,291.577058867048,268.854834883687,268.75181081663,268.856754324297
"82",283.207801023871,283.210770411479,285.207801023871,293.628481767823,293.640027532521,298.233651953811,275.80851612158,275.642834779754,275.809816674176
"83",282.025594503677,282.028522421766,292.781829951978,292.446275247629,292.456939861116,321.438701997847,274.827691882052,274.998506928595,271.589758875639
"84",273.638280418436,273.643350827432,275.638280418436,284.058961162388,284.073057755009,288.664131348376,265.741129551934,265.97504720571,265.741983155176
"85",279.693644050693,280.066495146084,281.693644050693,290.114324794645,291.744428283909,294.719494980633,271.418189769515,271.03106441439,271.416893610308
"86",274.507994963743,272.997715759836,280.973270797666,284.928675707696,288.237493537822,309.630142843536,267.304111338018,262.028674429811,259.775299409025
"87",270.256603380114,270.564620895473,272.256603380114,280.677284124066,282.023395903275,285.282454310054,262.442792555513,262.068273499965,262.438412756234
"88",287.628892152397,287.629803756957,289.628892152397,298.049572896349,298.058379533444,302.654743082337,279.312945272421,279.265883570887,279.3127273727
"89",288.771506940921,288.446247667248,290.771506940921,299.192187684873,307.650071455134,303.797357870861,280.133904124892,273.261008469913,280.133280778823
"90",287.130038804291,287.132695471852,289.130038804291,297.550719548244,297.562436289548,302.155889734232,279.538537815893,279.578923075262,279.548088986696
"91",281.776975502569,281.78226383952,300.635684148149,292.197656246521,292.213116318458,344.923577309947,273.358561724243,273.385691251694,266.216836556692
"92",268.878642043369,269.238283285187,270.878642043369,279.299322787321,281.792806903852,283.904492973309,260.564360818906,258.828823925326,260.564499747581
"93",274.431782018675,273.584247023987,276.431782018675,284.852462762628,288.823689487503,289.457632948616,267.050119964373,262.857766483408,267.052808237804
"94",262.972253559391,262.980193277351,281.073292731288,273.392934303343,273.412804963898,325.361185893086,255.200206749647,255.375769380162,247.300495660095
"95",279.265227798116,279.41887554619,281.265227798116,289.685908542069,292.360584706212,294.291078728057,271.412329852057,269.524248921444,271.411813771945
"96",277.029982032662,277.57403803255,279.029982032662,287.450662776615,289.928648303193,292.055832962603,269.186302099208,268.27470564807,269.188045295331
"97",275.127920447979,276.026443744988,277.127920447979,285.548601191932,289.17175085734,290.15377137792,266.706498556045,265.171923881521,266.703359134644
